Name,Grape,Popularity,Score,AvgPrice,NormScore
"Ramos Pinto 20 Year Old Quinta do Bom Retiro Tawny Port, Portugal",Port Blend Red,"13,256",92,256,8.4
"Quinta Nova de Nossa Senhora do Carmo 'Mirabilis' Grande Reserva Branco, Douro, Portugal",Portuguese White Blend,"13,355",90,156,8
"Sao Miguel do Sul Tinto, Vinho Regional Alentejano, Portugal",Portuguese Red Blend,"13,355",88,40,7.6
"Filipa Pato 3B Metodo Traditional Rose, Bairrada, Beiras, Portugal",Rare Rose Blend,"13,442",88,60,7.6
"Feist Vintage Port, Portugal",Port Blend Red,"13,442",,467,-10
"Aveleda Alvarinho, Vinho Verde, Portugal",Albarino (Alvarinho),"13,442",88,40,7.6
"Herdade do Esporao Torre do Esporao, Vinho Regional Alentejano, Portugal",Portuguese Red Blend,"13,532",91,838,8.2
"Wine & Soul Quinta da Manoella, Douro, Portugal",Portuguese Red Blend,"13,532",89,65,7.8
"Niepoort Robustus, Douro, Portugal",Portuguese Red Blend,"13,532",92,271,8.4
"Sandeman 30 Year Old Tawny Porto, Portugal",Port Blend Red,"13,532",91,356,8.2
"Bacalhoa - Caves Alianca Moscatel de Setubal, Portugal",Muscat of Alexandria,"13,532",88,45,7.6
"Quinta do Monte d'Oiro Reserva, Vinho Regional Lisboa, Portugal",Syrah - Viognier,"13,737",91,161,8.2
"Burmester Late Bottled Vintage Port, Portugal",Port Blend Red,"13,737",88,90,7.6
"Caves Messias Quinta do Cachao Vintage Port, Portugal",Port Blend Red,"13,737",88,417,7.6
"Barbeito Frasqueira-Vintage Boal, Madeira, Portugal",Bual,"13,843",,"1,089",-10
"Dow's 20 Year Old Tawny Port, Portugal",Port Blend Red,"13,926",90,201,8
"Taylor Fladgate 30 Year Old Tawny Port, Portugal",Port Blend Red,"13,926",89,507,7.8
"Casa Santos Lima Quinta das Setencostas, Alenquer, Portugal",Portuguese Red Blend,"14,045",87,30,7.4
"Quinta do Noval 40 Year Old Tawny Port, Portugal",Port Blend Red,"14,045",91,547,8.2
"Hutcheson Vintage Port, Portugal",Port Blend Red,"14,158",,512,-10
"Adega Cooperativa de Borba, Alentejo, Portugal",Portuguese Red Blend,"14,265",85,30,7
"Duorum Tons de Duorum Tinto, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,"14,374",87,35,7.4
"Quinta do Portal Colheita, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,"14,486",88,55,7.6
"Cabeca de Toiro Reserva, Ribatejo, Portugal",Castelao - Touriga,"14,486",88,40,7.6
"Adega Regional de Colares Arenae Ramisco, Colares, Portugal",Ramisco,"14,486",,151,-10
"Quinta do Ameal Loureiro, Vinho Verde, Portugal",Loureiro,"14,610",89,55,7.8
"Antonio Bernardino Paulo da Silva Chitas Reserva Tinto, Colares, Portugal",Ramisco,"14,720",,146,-10
"Casa Ermelinda Freitas Dona Ermelinda Reserva, Palmela, Portugal",Portuguese Red Blend,"14,720",87,40,7.4
"Broadbent Rose, Vinho Verde, Portugal",Portuguese Red Blend,"14,844",87,35,7.4
"Luis Pato Quinta do Ribeirinho Pe Franco, Beiras, Portugal",Baga,"14,844",92,612,8.4
"Quinta da Romaneira Vinho Tinto, Douro, Portugal",Portuguese Red Blend,"14,844",91,90,8.2
"Quinta do Crasto 'Xisto' Roquette e Cazes, Douro, Portugal",Portuguese Red Blend,"14,980",90,276,8
"Quinta do Crasto Roquette & Cazes, Douro, Portugal",Portuguese Red Blend,"14,980",89,85,7.8
"Kopke 20 Year Old Port, Portugal",Port Blend Red,"14,980",89,216,7.8
"Jose Maria da Fonseca Twin Vines, Vinho Verde, Portugal",Portuguese White Blend,"14,980",85,30,7
"Burmester Jockey Club Reserve Port, Portugal",Port Blend Red,"15,080",87,70,7.4
"Esporao Quinta dos Murcas 'Assobio', Douro, Portugal",Portuguese Red Blend,"15,202",87,45,7.4
"Quinta do Mouro Rotulo Dourado, Vinho Regional Alentejano, Portugal",Rare Red Blend,"15,313",90,271,8
"Quinta de Roriz Prazo de Roriz, Douro, Portugal",Portuguese Red Blend,"15,432",88,55,7.6
"Adega Vila Real Reserva Tinto, Douro, Portugal",Portuguese Red Blend,"15,564",86,25,7.2
"Real Companhia Velha Royal Oporto 40 Year Old Tawny Port, Portugal",Port Blend Red,"15,564",90,452,8
"Kopke Colheita White Port, Portugal",Port Blend White,"15,689",,251,-10
"Quinta do Crasto Vintage Port, Portugal",Port Blend Red,"15,689",90,191,8
"Herdade da Farizoa Grande Reserva, Alentejo, Portugal",Syrah - Touriga,"15,818",89,126,7.8
"Offley 10 Year Old Tawny Port, Portugal",Port Blend Red,"15,818",88,120,7.6
"Duorum Tinto, Douro, Portugal",Portuguese Red Blend,"15,954",89,65,7.8
"Azinhaga de Ouro, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,"15,954",87,10,7.4
"Sogrape Vinhos 'Legado' Fernando Guedes, Douro, Portugal",Portuguese Red Blend,"15,954",91,813,8.2
"Calem Velhotes - Old Friends Tawny Port, Portugal",Port Blend Red,"15,954",86,35,7.2
"Conde D'Ervideira Branco Reserva, Alentejo, Portugal",Antao Vaz,"16,058",87,50,7.4
"Quinta da Alorna Touriga Nacional - Cabernet Sauvignon Reserva, Vinho Regional Tejo, Portugal",Rare Red Blend,"16,058",89,50,7.8
"Warre's Colheita Port, Portugal",Port Blend Red,"16,208",,974,-10
"Quinta Nova de Nossa Senhora do Carmo 'Mirabilis' Grande Reserva Tinto, Douro, Portugal",Portuguese Red Blend,"16,330",90,341,8
"Quinta do Noval Cedro do Noval, Vinho Regional Duriense, Portugal",Portuguese Red Blend,"16,330",90,75,8
"Fonseca 40 Year Old Tawny Port, Portugal",Port Blend Red,"16,330",91,813,8.2
"Whitwham's Millenium Port, Portugal",Port Blend Red,"16,462",,"2,149",-10
"Croft Late Bottled Vintage Port, Portugal",Port Blend Red,"16,603",88,75,7.6
"Ramos Pinto 30 Year Old Tawny Port, Portugal",Port Blend Red,"16,603",91,356,8.2
"Niepoort Fabelhaft, Douro, Portugal",Portuguese Red Blend,"16,754",87,45,7.4
"Quinta das Bageiras Garrafeira Tinto, Bairrada, Portugal",Baga,"16,898",91,115,8.2
"Quinta do Vale D. Dona Maria 'Vinha da Francisca', Douro, Portugal",Portuguese Red Blend,"16,898",92,281,8.4
"Luis Duarte Rubrica Tinto, Vinho Regional Alentejano, Portugal",Portuguese Red Blend,"16,898",92,85,8.4
"Feist Colheita Port, Portugal",Port Blend Red,"16,898",,482,-10
"Calem Special Reserve Port, Portugal",Port Blend Red,"16,898",88,60,7.6
"Sandeman Tawny Porto, Portugal",Port Blend Red,"16,898",87,55,7.4
"Anselmo Mendes 'Muros Antigos' Loureiro Escolha, Vinho Verde, Portugal",Loureiro,"16,898",88,40,7.6
"Vicente Leite Faria Animus, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,"16,898",86,35,7.2
"Quinta do Zambujeiro 'Zambujeiro', Vinho Regional Alentejano, Portugal",Portuguese Red Blend,"17,027",90,291,8
"Alvaro Castro Quinta da Pellada, Dao, Portugal",Tinta Roriz (Aragonez) - Touriga,"17,027",91,146,8.2
"Ferreira Duque de Braganca 20 Year Old Tawny Port, Portugal",Port Blend Red,"17,027",90,216,8
"Fonseca Premium Reserve Bin 27 Port, Portugal",Port Blend Red,"17,027",89,70,7.8
"Joao Portugal Ramos Marques de Borba Reserva, Alentejo, Portugal",Portuguese Red Blend,"17,027",91,181,8.2
"Dao Sul Casa de Santar, Dao, Portugal",Portuguese Red Blend,"17,027",88,35,7.6
"Herdade dos Grous Moon Harvested, Alentejo, Portugal",Alicante Bouschet,"17,182",89,105,7.8
"Adega Cooperativa de Borba 'Rotulo Cortica' Reserva, Alentejo, Portugal",Alicante Bouschet - Aragonez - Trincadeira,"17,337",88,65,7.6
"Anselmo Mendes 'Parcela Unica' Alvarinho, Vinho Verde, Portugal",Albarino (Alvarinho),"17,337",92,126,8.4
"Carvalho Ribeiro & Ferreira - C.R. & F. Aguardente Velha Reserva, Portugal",Brandy,"17,337",,100,-10
"Pocas Junior Colheita Port, Portugal",Port Blend Red,"17,337",,236,-10
"Julio Bastos Dona Maria Gran Reserva, Alentejo, Portugal",Portuguese Red Blend,"17,337",91,131,8.2
"Offley Tawny Port, Portugal",Port Blend Red,"17,337",89,55,7.8
"Barros Tawny Port, Portugal",Port Blend Red,"17,337",88,45,7.6
"Caves Sao Joao Frei Joao Reserva, Bairrada, Portugal",Rare Red Blend,"17,494",88,70,7.6
"Azinhaga de Ouro Reserva, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,"17,494",87,30,7.4
"Casa Cadaval Padre Pedro, Vinho Regional Tejo, Portugal",Rare Red Blend,"17,494",86,30,7.2
"DFJ Vinhos Portada Tinto, Vinho Regional Lisboa, Portugal",Portuguese Red Blend,"17,494",87,30,7.4
"Caves Sao Joao Quinta do Poco do Lobo Arinto, Beiras, Portugal",Arinto (Pederna),"17,674",,110,-10
"Filipa Pato Nossa Calcario Branco, Bairrada, Portugal",Bical,"17,674",90,110,8
"Herdade da Malhadinha Nova 'Monte de Peceguina', Alentejo, Portugal",Alicante Bouschet - Aragonez,"17,674",87,65,7.4
"Quinta do Zambujeiro Terra do Zambujeiro, Vinho Regional Alentejano, Portugal",Portuguese Red Blend,"17,841",,126,-10
"Caves Sao Joao 'Porta dos Cavaleiros' Reserva Tinto, Dao, Portugal",Portuguese Red Blend,"17,841",89,176,7.8
"Niepoort Vertente Tinto, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,"17,841",90,70,8
"Herdade do Mouchao Dom Rafael Tinto, Alentejo, Portugal",Portuguese Red Blend,"17,841",88,50,7.6
"Quinta do Vale D. Dona Maria Vintage Port, Portugal",Port Blend Red,"17,841",91,221,8.2
"Quinta do Vesuvio Tinto, Douro, Portugal",Portuguese Red Blend,"17,993",91,216,8.2
"Quinta do Cotto Grande Escolha, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,"17,993",89,176,7.8
"Caves Vidigal 'Brutalis' Alicante Bouschet - Cabernet Sauvignon, Vinho Regional Lisboa, Portugal",N/A,"17,993",89,115,7.8
"Luis Pato Vinha Pan Tinto, Beiras, Portugal",Alicante Bouschet,"17,993",91,115,8.2
"Ferreira Port Branco, Portugal",Port Blend White,"17,993",87,45,7.4
"Sandeman 10 Year Old Tawny Port, Portugal",Port Blend Red,"18,139",89,115,7.8
"Caves Sao Joao Frei Joao, Bairrada, Portugal",Rare Red Blend,"18,297",86,65,7.2
"Quinta do Pego Vintage Port, Portugal",Port Blend Red,"18,297",89,206,7.8
"Romariz Vintage Port, Portugal",Port Blend Red,"18,297",89,261,7.8
"Dow's Colheita Port, Portugal",Port Blend Red,"18,297",,261,-10
"Quinta do Portal Grande Reserva, Douro, Portugal",Portuguese Red Blend,"18,297",89,141,7.8
"Dao Sul Quinta de Cabriz Reserva, Dao, Portugal",Alfrocheiro Preto - Tinta Roriz - Touriga,"18,297",89,50,7.8
"Casa de Vila Verde, Vinho Verde, Portugal",N/A,"18,483",86,20,7.2
"Carvalho Ribeiro & Ferreira - C.R. & F. Garrafeira Vinho Tinto, Portugal",Portuguese Red Blend,"18,483",,452,-10
"Mapreco Rose, Vinho Verde, Portugal",Tinta Roriz (Aragonez) - Touriga,"18,483",87,35,7.4
"Real Companhia Velha Porca de Murca Reserva Tinto, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,"18,644",88,50,7.6
"Quinta das Arcas Arca Nova, Vinho Verde, Portugal",Arinto (Pederna) - Loureiro,"18,794",86,35,7.2
"Amandio Silva & Filhos Amandio's Old Tawny Port, Portugal",Port Blend Red,"18,794",,"2,319",-10
"Sogrape Vinhos Quinta de Azevedo, Vinho Verde, Portugal",Arinto (Pederna) - Loureiro,"18,986",86,40,7.2
"Quinta de Lemos Dona Santana, Dao, Portugal",Tinta Roriz (Aragonez) - Touriga,"18,986",89,70,7.8
"Bacalhoa - Caves Alianca Garrafeira Particular, Bairrada, Portugal",Baga,"18,986",,80,-10
"Blandy's Colheita - Harvest Malmsey, Madeira, Portugal",Malvasia,"18,986",88,256,7.6
"Vinhos Borges Meia Encosta, Dao, Portugal",Alfrocheiro Preto - Tinta Roriz - Touriga,"18,986",84,20,6.8
"Herdade dos Grous Reserva Tinto, Alentejo, Portugal",Portuguese Red Blend,"18,986",91,141,8.2
"Quinta do Gradil Mula Velha Premium, Vinho Regional de Lisboa, Portugal",Rare Red Blend,"19,173",87,25,7.4
"Quinta do Vale D. Dona Maria 'Rufo', Douro, Portugal",Portuguese Red Blend,"19,173",88,45,7.6
"Quinta de Ventozelo Vintage Port, Portugal",Port Blend Red,"19,173",87,201,7.4
"Porto Rocha Vintage Port, Portugal",Port Blend Red,"19,173",,206,-10
"Locations Wine P Red, Portugal",Portuguese Red Blend,"19,173",88,65,7.6
"Niepoort Projectos Bucaco Tinto Vinho de Mesa, Portugal",Portuguese Red Blend,"19,370",91,221,8.2
"Smith Woodhouse Late Bottled Vintage Port, Portugal",Port Blend Red,"19,370",89,120,7.8
"Quinta do Noval 10 Year Old Tawny Port, Portugal",Port Blend Red,"19,370",89,115,7.8
"Leacock's Sercial Vintage, Madeira, Portugal",Sercial,"19,370",,979,-10
"Feuerheerd's Vintage Port, Portugal",Port Blend Red,"19,570",89,397,7.8
"Adega de Favaios Moscatel do Douro, Portugal",Muscat,"19,570",87,65,7.4
"Carvalho Ribeiro & Ferreira Brandy 1920, Portugal",Brandy,"19,570",,55,-10
"Quinta Seara d'Ordens Porto Vintage Port, Portugal",Port Blend Red,"19,570",89,141,7.8
"Herdade da Malhadinha Nova 'Malhadinha' Tinto, Alentejo, Portugal",Portuguese Red Blend,"19,570",91,156,8.2
"Fonseca 20 Year Old Tawny Port, Portugal",Port Blend Red,"19,570",91,196,8.2
"Smith Woodhouse Madalena Vintage Port, Portugal",Port Blend Red,"19,570",,126,-10
"Herdade do Rocim Marianna, Vinho Regional Alentejano, Portugal",Portuguese Red Blend,"19,762",88,45,7.6
"Andresen Vintage Port, Portugal",Port Blend Red,"19,762",89,311,7.8
"Vila Regia Tinto, Douro, Portugal",Portuguese Red Blend,"19,762",86,40,7.2
"Casa Santos Lima Al-Ria, Vinho Regional Algarve, Portugal",Syrah - Touriga,"19,762",87,35,7.4
"Barao de Vilar Maynard's Colheita Port, Portugal",Port Blend Red,"19,963",,231,-10
"Adega de Palmela Pedras Negras Tinto Vinho de Mesa, Portugal",Castelao,"19,963",,5,-10
"Herdade do Rocim Olho de Mocho Reserva, Vinho Regional Alentejano, Portugal",Syrah - Touriga,"19,963",89,60,7.8
"Quinta Do Estanho Vintage Port, Portugal",Port Blend Red,"19,963",87,216,7.4
"Quinta do Poeira 'Po de Poeira' Tinto, Douro, Portugal",Portuguese Red Blend,"19,963",89,75,7.8
"Niepoort Docil Loureiro, Vinho Verde, Portugal",Loureiro,"20,156",88,50,7.6
"Dow's Fine Tawny Port, Portugal",Port Blend Red,"20,156",86,55,7.2
"Rebello Valente Vintage Port, Portugal",Port Blend Red,"20,156",,648,-10
"Luis Pato Vinhas Velhas Branco, Beiras, Portugal",Bical,"20,156",89,55,7.8
"Quinta do Vallado Adelaide, Douro, Portugal",Portuguese Red Blend,"20,350",91,341,8.2
"Kopke Late Bottled Vintage Port, Portugal",Port Blend Red,"20,350",89,80,7.8
"Taylor Fladgate Chip Dry White Port, Portugal",Port Blend White,"20,350",87,65,7.4
"Monte da Ravasqueira Reserva Tinto, Vinho Regional Alentejano, Portugal",Syrah - Touriga,"20,564",90,50,8
"Niepoort Lagar de Baixo Baga, Bairrada, Portugal",Baga,"20,564",89,65,7.8
"Real Companhia Velha Royal Oporto 20 Year Old Tawny Port, Portugal",Port Blend Red,"20,564",89,186,7.8
"Jose Maria da Fonseca Domini, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,"20,564",89,50,7.8
"Quinta de Chocapalha Tinto, Estremadura, Portugal",Tinta Roriz (Aragonez) - Touriga,"20,564",90,45,8
"Quinta do Vale D. Dona Maria 'Vinha do Rio', Douro, Portugal",Portuguese Red Blend,"20,766",92,467,8.4
"Justino's Malvasia Vintage, Madeira, Portugal",Malvasia,"20,766",,"1,742",-10
"Cartuxa Scala Coeli Tinto, Alentejo, Portugal",Rare Red Blend,"20,766",89,241,7.8
"Casa Santos Lima 'Valcatrina', Vinho Regional Alentejano, Portugal",Portuguese Red Blend,"20,766",87,45,7.4
"Vinhos Borges Quinta da Soalheira, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,"20,766",87,30,7.4
"Rapariga da Quinta Tinto Reserva, Alentejo, Portugal",Alicante Bouschet,"20,766",91,95,8.2
"Quinta do Vale Meao Vintage Port, Portugal",Port Blend Red,"20,953",92,341,8.4
"Cadao Reserva Tinto, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,"20,953",88,25,7.6
"Churchill's Estates Tinto, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,"20,953",89,60,7.8
"Aguardiente Nectar Liqueur, Columbia",Liqueur - Anise,"20,953",N/A,,#VALUE!
"Vinha do Fava Touriga Nacional, Vinho Regional Setubal Peninsula, Portugal",Touriga Nacional,"20,953",,55,-10
"Dow's Crusted Port, Portugal",Port Blend Red,"20,953",88,115,7.6
"Osborne Late Bottled Vintage Port, Portugal",Port Blend Red,"20,953",88,75,7.6
"Casa Santos Lima Quinta de Bons Ventos, Vinho Regional Lisboa, Portugal",Portuguese Red Blend,"20,953",86,30,7.2
"Vadio Tinto, Bairrada, Portugal",Baga,"21,156",89,55,7.8
"Barbeito Malvasia Reserva Velha, Madeira, Portugal",Malvasia,"21,156",,"2,630",-10
"Alvaro Castro Tinto, Dao, Portugal",Alfrocheiro Preto - Tinta Roriz - Touriga,"21,156",89,50,7.8
"Niepoort Twisted, Douro, Portugal",Tinta Roriz - Tinto Cao - Touriga,"21,156",88,60,7.6
"Casa Ermelinda Freitas Dona Ermelinda Tinto, Palmela, Portugal",Portuguese Red Blend,"21,156",87,25,7.4
"J. Faria & Filhos Licor Anis Escarchado, Madeira, Portugal",Liqueur - Anise,"21,403",,45,-10
"Herdade de Sao Miguel Escolha dos Enologos, Vinho Regional Alentejano, Portugal",N/A,"21,403",90,60,8
"Bacalhoa - Caves Alianca Quinta do Carmo Reserva Tinto, Alentejo, Portugal",Cabernet - Grenache - Syrah,"21,403",89,141,7.8
"Bacalhoa - Caves Alianca Casal Mendes Rose, Portugal",Baga,"21,403",86,25,7.2
"Joao Portugal Ramos Smart Dog Syrah, Alentejo, Portugal",Syrah,"21,646",87,40,7.4
"Dow's Vale do Bomfim, Douro, Portugal",Portuguese Red Blend,"21,646",88,40,7.6
"Barros 10 Year Old Tawny Port, Portugal",Port Blend Red,"21,646",88,90,7.6
"Martinez Quinta da Eira Velha, Single Quinta Vintage Port, Portugal",Port Blend Red,"21,646",90,231,8
"Quinta Nova de Nossa Senhora do Carmo Reserva Tinto, Douro, Portugal",Portuguese Red Blend,"21,895",89,100,7.8
"Segredos de Sao Miguel Reserva, Vinho Regional Alentejano, Portugal",Portuguese Red Blend,"21,895",89,55,7.8
"Constantino Fine Brandy, Portugal",Brandy,"21,895",,50,-10
"Carmim 'Terras d'el Rei', Vinho Regional Alentejano, Portugal",Portuguese Red Blend,"21,895",84,20,6.8
"Quinta de Foz de Arouce, Vinho Regional Beiras, Portugal",Portuguese Red Blend,"21,895",90,65,8
"W & J Graham's Crusted Port, Portugal",Port Blend Red,"21,895",90,90,8
"Warre's Otima 20 Years Old Tawny Port, Portugal",Port Blend Red,"21,895",90,221,8
"Dow's 30 Year Old Tawny Port, Portugal",Port Blend Red,"21,895",89,387,7.8
"Offley Ruby Port, Portugal",Port Blend Red,"21,895",87,55,7.4
"Quinta do Passadouro, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,"22,179",89,105,7.8
"Quinta do Fojo 'Vinha do Fojo', Douro, Portugal",N/A,"22,179",90,241,8
"Vila das Rainhas 'Ginja d'Obidos' Licor, Portugal",Liqueur - Fruit,"22,179",,95,-10
"Quinta Nova de Nossa Senhora do Carmo Vintage Port, Portugal",Port Blend Red,"22,179",90,221,8
"Quinta do Crasto Flor de Crasto, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,"22,179",87,40,7.4
"Pera-Grave Reserva Tinto, Vinho Regional Alentejano, Portugal",Rare Red Blend,"22,427",88,110,7.6
"Ramos Pinto Quinta da Ervamoira 10 Year Old Tawny Port, Portugal",Port Blend Red,"22,427",89,141,7.8
"Niepoort Rotulo Tinto, Dao, Portugal",Portuguese Red Blend,"22,691",89,40,7.8
"Octave, Vinho Verde, Portugal",Albarino (Alvarinho),"22,691",88,30,7.6
"Quinta de Soalheiro 'Allo' Alvarinho - Loureiro, Vinho Verde, Portugal",Portuguese White Blend,"22,691",89,30,7.8
"Porto Cruz Colheita Port, Portugal",Port Blend Red,"22,937",,171,-10
"Aphros Loureiro, Vinho Verde, Portugal",Loureiro,"22,937",89,60,7.8
"DFJ Vinhos Grand'Arte Alicante Bouschet, Vinho Regional Lisboa, Portugal",Alicante Bouschet,"22,937",89,35,7.8
"Calem Late Bottled Vintage Port, Portugal",Port Blend Red,"22,937",88,75,7.6
"Burmester 20 Year Old Tawny Port, Portugal",Port Blend Red,"22,937",90,211,8
"Dow's Fine Ruby Port, Portugal",Port Blend Red,"22,937",87,55,7.4
"Falua 'Conde de Vimioso' Reserva, Vinho Regional Tejo, Portugal",Rare Red Blend,"23,184",90,55,8
"Casa Santos Lima Portuga, Vinho Regional Lisboa, Portugal",Portuguese Red Blend,"23,184",87,30,7.4
"Quinta da Sequeira Tinto Grande Reserva, Douro, Portugal",Portuguese Red Blend,"23,184",87,146,7.4
"Cockburn's Quinta Dos Canais Vintage Port, Portugal",Port Blend Red,"23,184",90,196,8
"Barbeito Terrantez Vintage, Madeira, Portugal",Terrantez,"23,184",,311,-10
"Andreza Reserva Tinto, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,"23,460",89,40,7.8
"Real Companhia Velha Quinta das Carvalhas 'Carvalhas' Tinto, Douro, Portugal",Rare Red Blend,"23,460",90,60,8
"Herdade do Esporao Private Selection Branco, Alentejo, Portugal",Rare White Blend,"23,460",90,90,8
"Alvaro Castro Quinta de Saes 'Estagio Prolongado' Tinto Reserva, Dao, Portugal",Tinta Roriz (Aragonez) - Touriga,"23,460",90,75,8
"Taylor Fladgate Special Fine Ruby Port, Portugal",Port Blend Red,"23,460",88,60,7.6
"Casa Santos Lima Quinta do Espirito Santo, Vinho Regional Estremadura, Portugal",Portuguese Red Blend,"23,460",88,45,7.6
"Julio Bastos Dona Maria Reserva, Alentejo, Portugal",N/A,"23,768",89,141,7.8
"Porto Rocha Colheita Port, Portugal",Port Blend Red,"23,768",,522,-10
"Niepoort Poeirinho Baga, Bairrada, Portugal",Baga,"23,768",90,126,8
"Burmester 10 Year Old Tawny Port, Portugal",Port Blend Red,"23,768",89,110,7.8
"Symington Altano Reserva, Douro, Portugal",Touriga Franca - Touriga Nacional,"23,768",89,60,7.8
"Ramos Pinto Lagrima White Porto, Portugal",Port Blend White,"23,768",87,60,7.4
"Herdade do Esporao Monte Velho Branco, Vinho Regional Alentejano, Portugal",Antao Vaz,"23,768",86,30,7.2
"Quinta dos Carvalhais Reserva, Dao, Portugal",Tinta Roriz (Aragonez) - Touriga,"24,022",90,110,8
"DFJ Vinhos Paxis Vinho Regional Lisboa Tinto, Portugal",Portuguese Red Blend,"24,022",87,35,7.4
"Jose Maria da Fonseca Domingos Soares Franco 'Coleccao Privada' Moscatel de Setubal Roxo, Portugal",Muscat,"24,022",87,85,7.4
"Luis Pato Baga Vinho Espumante Rose Bruto, Beiras, Portugal",Baga,"24,022",87,55,7.4
"W & J Graham's The Tawny Port, Portugal",Port Blend Red,"24,022",89,75,7.8
"Quinta do Portal Late Bottled Vintage Port, Portugal",Port Blend Red,"24,022",88,90,7.6
"Quinta da Lixa 'Anjos de Portugal', Vinho Verde, Portugal",Albarino (Alvarinho),"24,367",86,25,7.2
"Castello D'Alba Vinhas Velhas Grande Reserva, Douro, Portugal",Portuguese Red Blend,"24,367",89,60,7.8
"Caves Sao Joao 'Porta dos Cavaleiros' Tinto, Dao, Portugal",Portuguese Red Blend,"24,367",86,70,7.2
"Anselmo Mendes Muros de Melgaco Alvarinho, Vinho Verde, Portugal",Albarino (Alvarinho),"24,367",90,70,8
"Vallegre Vista Alegre Vintage Port, Portugal",Port Blend Red,"24,667",90,151,8
"Cartuxa Evora Colheita Branco, Alentejo, Portugal",Portuguese White Blend,"24,667",88,50,7.6
"Tiago Cabaco Blog Tinto, Alentejo, Portugal",Portuguese Red Blend,"24,667",91,115,8.2
"Ramos Pinto Duas Quintas Reserva Especial, Douro, Portugal",Portuguese Red Blend,"24,667",88,256,7.6
"Anselmo Mendes 'Muros Antigos' Alvarinho, Vinho Verde, Portugal",Albarino (Alvarinho),"24,667",89,55,7.8
"Wine & Soul Pintas Vintage Port, Portugal",Port Blend Red,"24,968",91,251,8.2
"Caves Sao Joao Quinta do Poco do Lobo Reserva Tinto, Bairrada, Portugal",Portuguese Red Blend,"24,968",88,80,7.6
"Herdade do Peso 'Trinca Bolotas', Alentejo, Portugal",Portuguese Red Blend,"24,968",87,35,7.4
"Herdade da Maroteira 'Dez Tostoes' Tinto, Vinho Regional Alentejano, Portugal",Portuguese Red Blend,"24,968",,45,-10